FILE, GENERATION, SELECTION, POPULATION, SOLUTION, DURATION (MS)
WEING1-1.DAT, 100, group, 20, 156591.0, 359
WEING1-1.DAT, 100, group, 20, 153771.0, 343
WEING1-1.DAT, 100, group, 20, 147267.0, 358
WEING1-1.DAT, 100, group, 20, 155223.0, 449
WEING1-1.DAT, 100, group, 20, 155892.0, 395
WEING1-1.DAT, 100, group, 20, 151900.0, 453
WEING1-1.DAT, 100, group, 20, 154591.0, 588
WEING1-1.DAT, 100, group, 20, 151372.0, 428
WEING1-1.DAT, 100, group, 20, 153972.0, 364
WEING1-1.DAT, 100, group, 20, 151868.0, 349
WEING1-1.DAT, 100, group, 20, 150172.0, 350
WEING1-1.DAT, 100, group, 20, 155433.0, 366
WEING1-1.DAT, 100, group, 20, 152110.0, 349
WEING1-1.DAT, 100, group, 20, 155573.0, 352
WEING1-1.DAT, 100, group, 20, 157510.0, 369
WEING1-1.DAT, 100, group, 20, 152593.0, 363
WEING1-1.DAT, 100, group, 20, 153625.0, 349
WEING1-1.DAT, 100, group, 20, 154803.0, 355
WEING1-1.DAT, 100, group, 20, 152448.0, 350
WEING1-1.DAT, 100, group, 20, 155223.0, 354
WEING1-1.DAT, 100, group, 40, 155792.0, 554
WEING1-1.DAT, 100, group, 40, 156063.0, 548
WEING1-1.DAT, 100, group, 40, 154643.0, 518
WEING1-1.DAT, 100, group, 40, 156040.0, 540
WEING1-1.DAT, 100, group, 40, 154183.0, 542
WEING1-1.DAT, 100, group, 40, 156760.0, 528
WEING1-1.DAT, 100, group, 40, 152305.0, 513
WEING1-1.DAT, 100, group, 40, 152337.0, 549
WEING1-1.DAT, 100, group, 40, 154752.0, 557
WEING1-1.DAT, 100, group, 40, 150977.0, 566
WEING1-1.DAT, 100, group, 40, 154973.0, 511
WEING1-1.DAT, 100, group, 40, 154322.0, 524
WEING1-1.DAT, 100, group, 40, 154812.0, 566
WEING1-1.DAT, 100, group, 40, 153005.0, 596
WEING1-1.DAT, 100, group, 40, 155223.0, 616
WEING1-1.DAT, 100, group, 40, 154703.0, 588
WEING1-1.DAT, 100, group, 40, 153422.0, 595
WEING1-1.DAT, 100, group, 40, 155632.0, 635
WEING1-1.DAT, 100, group, 40, 155923.0, 638
WEING1-1.DAT, 100, group, 40, 154523.0, 737
WEING1-1.DAT, 100, group, 60, 156600.0, 890
WEING1-1.DAT, 100, group, 60, 155702.0, 978
WEING1-1.DAT, 100, group, 60, 152485.0, 955
WEING1-1.DAT, 100, group, 60, 154862.0, 956
WEING1-1.DAT, 100, group, 60, 153823.0, 952
WEING1-1.DAT, 100, group, 60, 155203.0, 955
WEING1-1.DAT, 100, group, 60, 154573.0, 999
WEING1-1.DAT, 100, group, 60, 153992.0, 942
WEING1-1.DAT, 100, group, 60, 154643.0, 954
WEING1-1.DAT, 100, group, 60, 155890.0, 946
WEING1-1.DAT, 100, group, 60, 154890.0, 939
WEING1-1.DAT, 100, group, 60, 153282.0, 890
WEING1-1.DAT, 100, group, 60, 155853.0, 861
WEING1-1.DAT, 100, group, 60, 157070.0, 863
WEING1-1.DAT, 100, group, 60, 154973.0, 914
